C1,19.77,8.43,0.00,100nf,C1206FAB
C2,16.62,12.44,90.00,100nF,C1206FAB
C3,11.67,12.42,90.00,10nF,C1206FAB
C4,14.28,12.42,90.00,1uF,C1206FAB
D1,29.73,8.96,180.00,LEDFAB1206,LED1206FAB
D2,29.73,6.65,180.00,LEDFAB1206,LED1206FAB
FTDI,41.66,11.92,180.00,FTDI-SMD-HEADER,1X06SMD
R1,25.03,20.81,0.00,10k,R1206FAB
R2,34.48,11.70,90.00,100E,R1206FAB
R3,37.17,11.67,90.00,100E,R1206FAB
S1,23.53,5.91,180.00,SLIDE-SWITCH,AYZ0102AGRLC
U1,25.16,14.70,180.00,INTERFACE-FT232RL(SSOP28),SSOP28-0.65-10.2X5.2MM
USB_MINI/MICRO,5.49,12.26,0.00,USB_MINIB,USB_MINIB
